,Time.averaged,Type,valco_position,mean_d18O,sd_d18O,mean_dD,sd_dD,mean_lin_d18O,mean._lin_dD,sd_lin_d18O,sd_lin_dD
1,5,Reference,1,-25.26,0.28,-187.82,0.77,-25.52,-192.64,NA,NA
2,10,Fill,16,-25.14,0.24,-188.37,0.63,-25.18,-192.75,NA,NA
3,10,Fill,15,-24.87,0.21,-188.48,0.64,-24.65,-192.35,NA,NA
4,5,Reference,1,-22.81,0.29,-185.95,0.70,-22.60,-189.83,NA,NA
5,10,Fill,14,-21.91,0.22,-185.65,0.66,-22.10,-190.32,0.224328677,0.662695374
6,10,Fill,2,-24.64,0.22,-188.26,0.63,-25.13,-193.54,NA,NA
