"","Peak","Delta_18_16","Delta_D_H"
"1",1,-30.5442869925934,-199.929456001978
"2",2,-28.5051897784945,-186.751958156044
"3",3,-30.1590207844176,-197.167963885165
"4",4,-28.9607422472747,-196.904608923407
"5",5,-28.3762946804835,-183.342043325495
